Date,Country,Platform,Subscription_Type,Sales_EUR,Orders,Subscribers,Proceeds_EUR
2024-01,CA,Apple,7F,35.0,35,0,0
2024-01,CA,Apple,7T,14.0,14,0,0
2024-01,CD,Apple,1F,1.0,1,0,0
2024-01,CH,Apple,1,13.0,13,0,0
2024-01,CH,Apple,1F,198.0,198,0,0
2024-01,CH,Apple,3,1292.0,1292,0,0
2024-01,CH,Apple,3F,305.0,305,0,0
2024-01,CH,Apple,3T,13.0,13,0,0
2024-01,CH,Apple,7,21.0,21,0,0
2024-01,CH,Apple,7F,68.0,68,0,0
2024-01,CH,Apple,7T,9.0,9,0,0
2024-01,CI,Apple,1,2.0,2,0,0
2024-01,CI,Apple,1F,2.0,2,0,0
2024-01,CI,Apple,3,1.0,1,0,0
2024-01,CI,Apple,3F,4.0,4,0,0
2024-01,CL,Apple,1,6.0,6,0,0
2024-01,CL,Apple,1F,22.0,22,0,0
2024-01,CL,Apple,3,92.0,92,0,0
2024-01,CL,Apple,3F,24.0,24,0,0
2024-01,CM,Apple,1F,1.0,1,0,0
2024-01,CN,Apple,1,275.0,275,0,0
2024-01,CN,Apple,1F,3250.0,3250,0,0
2024-01,CN,Apple,3,5487.0,5487,0,0
2024-01,CN,Apple,3F,1061.0,1061,0,0
2024-01,CN,Apple,3T,3.0,3,0,0
2024-01,CN,Apple,7,203.0,203,0,0
2024-01,CN,Apple,7F,81.0,81,0,0
2024-01,CN,Apple,7T,12.0,12,0,0
2024-01,CO,Apple,1,6.0,6,0,0
2024-01,CO,Apple,1F,17.0,17,0,0
2024-01,CO,Apple,3,36.0,36,0,0
2024-01,CO,Apple,3F,4.0,4,0,0
2024-01,CR,Apple,1,1.0,1,0,0
2024-01,CR,Apple,1F,6.0,6,0,0
2024-01,CR,Apple,3,19.0,19,0,0
2024-01,CR,Apple,3F,11.0,11,0,0
2024-01,CR,Apple,7T,8.0,8,0,0
2024-01,CY,Apple,1,1.0,1,0,0
2024-01,CY,Apple,3,29.0,29,0,0
2024-01,CY,Apple,3F,8.0,8,0,0
2024-01,CZ,Apple,1,58.0,58,0,0
2024-01,CZ,Apple,1F,91.0,91,0,0
2024-01,CZ,Apple,3,617.0,617,0,0
2024-01,CZ,Apple,3F,57.0,57,0,0
2024-01,CZ,Apple,3T,2.0,2,0,0
2024-01,CZ,Apple,7,6.0,6,0,0
2024-01,DE,Apple,1,33.0,33,0,0
2024-01,DE,Apple,1F,361.0,361,0,0
2024-01,DE,Apple,3,1933.0,1933,0,0
2024-01,DE,Apple,3F,582.0,582,0,0
2024-01,DE,Apple,3T,4.0,4,0,0
2024-01,DE,Apple,7,13.0,13,0,0
2024-01,DE,Apple,7F,13.0,13,0,0
2024-01,DE,Apple,7T,40.0,40,0,0
2024-01,DK,Apple,1,15.0,15,0,0
2024-01,DK,Apple,1F,66.0,66,0,0
2024-01,DK,Apple,3,875.0,875,0,0
2024-01,DK,Apple,3F,116.0,116,0,0
2024-01,DK,Apple,3T,18.0,18,0,0
2024-01,DK,Apple,7,25.0,25,0,0
2024-01,DK,Apple,7F,3.0,3,0,0
2024-01,DK,Apple,7T,1.0,1,0,0
2024-01,DO,Apple,1,1.0,1,0,0
2024-01,DO,Apple,3,3.0,3,0,0
2024-01,DO,Apple,3F,2.0,2,0,0
2024-01,DZ,Apple,1,1.0,1,0,0
2024-01,DZ,Apple,1F,9.0,9,0,0
2024-01,DZ,Apple,3,3.0,3,0,0
2024-01,DZ,Apple,3F,5.0,5,0,0
2024-01,EC,Apple,1,9.0,9,0,0
2024-01,EC,Apple,1F,14.0,14,0,0
2024-01,EC,Apple,3,28.0,28,0,0
2024-01,EC,Apple,3F,5.0,5,0,0
2024-01,EE,Apple,1,2.0,2,0,0
2024-01,EE,Apple,1F,1.0,1,0,0
2024-01,EE,Apple,3,73.0,73,0,0
2024-01,EE,Apple,3F,6.0,6,0,0
2024-01,EG,Apple,1F,19.0,19,0,0
2024-01,EG,Apple,3,10.0,10,0,0
2024-01,EG,Apple,3F,29.0,29,0,0
2024-01,ES,Apple,1,72.0,72,0,0
2024-01,ES,Apple,1F,447.0,447,0,0
2024-01,ES,Apple,3,2305.0,2305,0,0
2024-01,ES,Apple,3F,393.0,393,0,0
2024-01,ES,Apple,3T,14.0,14,0,0
2024-01,ES,Apple,7,435.0,435,0,0
2024-01,ES,Apple,7F,6.0,6,0,0
2024-01,ES,Apple,7T,100.0,100,0,0
2024-01,FI,Apple,1,32.0,32,0,0
2024-01,FI,Apple,1F,42.0,42,0,0
2024-01,FI,Apple,3,1581.0,1581,0,0
2024-01,FI,Apple,3F,43.0,43,0,0
2024-01,FI,Apple,3T,23.0,23,0,0
2024-01,FI,Apple,7,8.0,8,0,0
2024-01,FI,Apple,7T,52.0,52,0,0
2024-01,FR,Apple,1,78.0,78,0,0
2024-01,FR,Apple,1F,334.0,334,0,0
2024-01,FR,Apple,3,2339.0,2339,0,0
2024-01,FR,Apple,3F,334.0,334,0,0
2024-01,FR,Apple,3T,22.0,22,0,0
2024-01,FR,Apple,7,69.0,69,0,0
2024-01,FR,Apple,7F,187.0,187,0,0
2024-01,FR,Apple,7T,36.0,36,0,0
2024-01,GB,Apple,1,20.0,20,0,0
2024-01,GB,Apple,1F,374.0,374,0,0
2024-01,GB,Apple,3,1770.0,1770,0,0
2024-01,GB,Apple,3F,682.0,682,0,0
2024-01,GB,Apple,3T,16.0,16,0,0
2024-01,GB,Apple,7,22.0,22,0,0
2024-01,GB,Apple,7F,10.0,10,0,0
2024-01,GB,Apple,7T,6.0,6,0,0
2024-01,GE,Apple,1,2.0,2,0,0
2024-01,GE,Apple,3,3.0,3,0,0
2024-01,GE,Apple,3F,1.0,1,0,0
2024-01,GR,Apple,1,21.0,21,0,0
2024-01,GR,Apple,1F,83.0,83,0,0
2024-01,GR,Apple,3,302.0,302,0,0
2024-01,GR,Apple,3F,65.0,65,0,0
2024-01,GT,Apple,3,2.0,2,0,0
2024-01,HK,Apple,1,14.0,14,0,0
2024-01,HK,Apple,1F,119.0,119,0,0
2024-01,HK,Apple,3,537.0,537,0,0
2024-01,HK,Apple,3F,202.0,202,0,0
2024-01,HK,Apple,3T,2.0,2,0,0
2024-01,HK,Apple,7,4.0,4,0,0
2024-01,HK,Apple,7F,28.0,28,0,0
2024-01,HN,Apple,1,1.0,1,0,0
2024-01,HN,Apple,1F,4.0,4,0,0
2024-01,HN,Apple,3,2.0,2,0,0
2024-01,HR,Apple,1,7.0,7,0,0
2024-01,HR,Apple,1F,21.0,21,0,0
2024-01,HR,Apple,3,111.0,111,0,0
2024-01,HR,Apple,3F,17.0,17,0,0
2024-01,HR,Apple,7F,2.0,2,0,0
2024-01,HU,Apple,1,20.0,20,0,0
2024-01,HU,Apple,1F,28.0,28,0,0
2024-01,HU,Apple,3,175.0,175,0,0
2024-01,HU,Apple,3F,23.0,23,0,0
2024-01,HU,Apple,3T,3.0,3,0,0
2024-01,ID,Apple,1,84.0,84,0,0
2024-01,ID,Apple,1F,91.0,91,0,0
2024-01,ID,Apple,3,661.0,661,0,0
2024-01,ID,Apple,3F,50.0,50,0,0
2024-01,ID,Apple,7,1.0,1,0,0
2024-01,IE,Apple,1,5.0,5,0,0
2024-01,IE,Apple,1F,8.0,8,0,0
2024-01,IE,Apple,3,57.0,57,0,0
2024-01,IE,Apple,3F,15.0,15,0,0
2024-01,IL,Apple,1,14.0,14,0,0
2024-01,IL,Apple,1F,35.0,35,0,0
2024-01,IL,Apple,3,358.0,358,0,0
2024-01,IL,Apple,3F,57.0,57,0,0
2024-01,IL,Apple,3T,2.0,2,0,0
2024-01,IL,Apple,7,13.0,13,0,0
2024-01,IN,Apple,1,5.0,5,0,0
2024-01,IN,Apple,1F,6.0,6,0,0
2024-01,IN,Apple,3,53.0,53,0,0
2024-01,IN,Apple,3F,12.0,12,0,0
2024-01,IQ,Apple,1F,5.0,5,0,0
2024-01,IQ,Apple,3,8.0,8,0,0
2024-01,IS,Apple,1F,2.0,2,0,0
2024-01,IS,Apple,3,8.0,8,0,0
2024-01,IS,Apple,3F,1.0,1,0,0
2024-01,IT,Apple,1,48.0,48,0,0
2024-01,IT,Apple,1F,119.0,119,0,0
2024-01,IT,Apple,3,2105.0,2105,0,0
2024-01,IT,Apple,3F,190.0,190,0,0
2024-01,IT,Apple,3T,11.0,11,0,0
2024-01,IT,Apple,7,69.0,69,0,0
2024-01,IT,Apple,7F,2.0,2,0,0
2024-01,IT,Apple,7T,67.0,67,0,0
2024-01,JM,Apple,3,2.0,2,0,0
2024-01,JO,Apple,1,1.0,1,0,0
2024-01,JO,Apple,1F,1.0,1,0,0
2024-01,JO,Apple,3,10.0,10,0,0
2024-01,JO,Apple,3F,1.0,1,0,0
2024-01,JP,Apple,1,26.0,26,0,0
2024-01,JP,Apple,1F,136.0,136,0,0
2024-01,JP,Apple,3,3135.0,3135,0,0
2024-01,JP,Apple,3F,181.0,181,0,0
2024-01,JP,Apple,3T,7.0,7,0,0
2024-01,JP,Apple,7,18.0,18,0,0
2024-01,JP,Apple,7F,3.0,3,0,0
2024-01,KG,Apple,3,3.0,3,0,0
2024-01,KH,Apple,1,1.0,1,0,0
2024-01,KR,Apple,1,51.0,51,0,0
2024-01,KR,Apple,1F,191.0,191,0,0
2024-01,KR,Apple,3,1097.0,1097,0,0
2024-01,KR,Apple,3F,198.0,198,0,0
2024-01,KR,Apple,3T,1.0,1,0,0
2024-01,KR,Apple,7,12.0,12,0,0
2024-01,KW,Apple,1,1.0,1,0,0
2024-01,KW,Apple,1F,4.0,4,0,0
2024-01,KW,Apple,3,7.0,7,0,0
2024-01,KW,Apple,3F,19.0,19,0,0
2024-01,KY,Apple,1F,1.0,1,0,0
2024-01,KZ,Apple,1,7.0,7,0,0
2024-01,KZ,Apple,1F,6.0,6,0,0
2024-01,KZ,Apple,3,32.0,32,0,0
2024-01,KZ,Apple,3F,23.0,23,0,0
2024-01,KZ,Apple,7,2.0,2,0,0
2024-01,LB,Apple,3,13.0,13,0,0
2024-01,LK,Apple,1F,1.0,1,0,0
2024-01,LK,Apple,3,4.0,4,0,0
2024-01,LK,Apple,3F,1.0,1,0,0
2024-01,LT,Apple,1,12.0,12,0,0
2024-01,LT,Apple,1F,8.0,8,0,0
2024-01,LT,Apple,3,170.0,170,0,0
2024-01,LT,Apple,3F,6.0,6,0,0
2024-01,LT,Apple,7,8.0,8,0,0
2024-01,LU,Apple,1,2.0,2,0,0
2024-01,LU,Apple,1F,4.0,4,0,0
2024-01,LU,Apple,3,60.0,60,0,0
2024-01,LU,Apple,3F,25.0,25,0,0
2024-01,LV,Apple,1,2.0,2,0,0
2024-01,LV,Apple,1F,7.0,7,0,0
2024-01,LV,Apple,3,70.0,70,0,0
2024-01,LV,Apple,3F,8.0,8,0,0
2024-01,MA,Apple,1,4.0,4,0,0
2024-01,MA,Apple,1F,8.0,8,0,0
2024-01,MA,Apple,3,2.0,2,0,0
2024-01,MD,Apple,1,2.0,2,0,0
2024-01,MD,Apple,1F,2.0,2,0,0
2024-01,MD,Apple,3,20.0,20,0,0
2024-01,MD,Apple,3F,1.0,1,0,0
2024-01,ME,Apple,1,1.0,1,0,0
2024-01,ME,Apple,1F,1.0,1,0,0
2024-01,ME,Apple,3,1.0,1,0,0
2024-01,MK,Apple,1,1.0,1,0,0
2024-01,MK,Apple,3,6.0,6,0,0
2024-01,MK,Apple,3F,1.0,1,0,0
2024-01,MN,Apple,3,3.0,3,0,0
2024-01,MO,Apple,1F,4.0,4,0,0
2024-01,MO,Apple,3,19.0,19,0,0
2024-01,MO,Apple,3F,14.0,14,0,0
2024-01,MR,Apple,1F,1.0,1,0,0
2024-01,MR,Apple,3,1.0,1,0,0
2024-01,MR,Apple,3F,1.0,1,0,0
2024-01,MT,Apple,1F,1.0,1,0,0
2024-01,MT,Apple,3,7.0,7,0,0
2024-01,MT,Apple,3F,2.0,2,0,0
2024-01,MU,Apple,3,2.0,2,0,0
2024-01,MV,Apple,1,1.0,1,0,0
2024-01,MV,Apple,1F,7.0,7,0,0
2024-01,MV,Apple,3,3.0,3,0,0
2024-01,MV,Apple,3F,10.0,10,0,0
2024-01,MX,Apple,1,20.0,20,0,0
2024-01,MX,Apple,1F,93.0,93,0,0
2024-01,MX,Apple,3,239.0,239,0,0
2024-01,MX,Apple,3F,87.0,87,0,0
2024-01,MX,Apple,3T,1.0,1,0,0
2024-01,MX,Apple,7,5.0,5,0,0
2024-01,MX,Apple,7F,2.0,2,0,0
2024-01,MY,Apple,1,41.0,41,0,0
2024-01,MY,Apple,1F,78.0,78,0,0
2024-01,MY,Apple,3,412.0,412,0,0
2024-01,MY,Apple,3F,75.0,75,0,0
2024-01,MY,Apple,3T,2.0,2,0,0
2024-01,MY,Apple,7,2.0,2,0,0
2024-01,MY,Apple,7F,1.0,1,0,0
2024-01,MY,Apple,7T,1.0,1,0,0
2024-01,MZ,Apple,1F,1.0,1,0,0
2024-01,MZ,Apple,3,4.0,4,0,0
2024-01,MZ,Apple,3F,3.0,3,0,0
2024-01,NG,Apple,1,1.0,1,0,0
2024-01,NG,Apple,3,2.0,2,0,0
2024-01,NI,Apple,3,1.0,1,0,0
2024-01,NL,Apple,1,10.0,10,0,0
2024-01,NL,Apple,1F,267.0,267,0,0
2024-01,NL,Apple,3,704.0,704,0,0
2024-01,NL,Apple,3F,383.0,383,0,0
2024-01,NL,Apple,3T,5.0,5,0,0
2024-01,NL,Apple,7,2.0,2,0,0
2024-01,NL,Apple,7F,5.0,5,0,0
2024-01,NL,Apple,7T,1.0,1,0,0
2024-01,NO,Apple,1,18.0,18,0,0
2024-01,NO,Apple,1F,86.0,86,0,0
2024-01,NO,Apple,3,2106.0,2106,0,0
2024-01,NO,Apple,3F,112.0,112,0,0
2024-01,NO,Apple,3T,19.0,19,0,0
2024-01,NO,Apple,7,46.0,46,0,0
2024-01,NO,Apple,7F,7.0,7,0,0
2024-01,NO,Apple,7T,92.0,92,0,0
2024-01,NP,Apple,1,5.0,5,0,0
2024-01,NP,Apple,1F,1.0,1,0,0
2024-01,NP,Apple,3,8.0,8,0,0
2024-01,NZ,Apple,1,8.0,8,0,0
2024-01,NZ,Apple,1F,19.0,19,0,0
2024-01,NZ,Apple,3,203.0,203,0,0
2024-01,NZ,Apple,3F,33.0,33,0,0
2024-01,NZ,Apple,3T,1.0,1,0,0
2024-01,NZ,Apple,7F,1.0,1,0,0
2024-01,OM,Apple,1F,1.0,1,0,0
2024-01,OM,Apple,3,5.0,5,0,0
2024-01,OM,Apple,3F,3.0,3,0,0
2024-01,PA,Apple,1,1.0,1,0,0
2024-01,PA,Apple,1F,1.0,1,0,0
2024-01,PA,Apple,3,3.0,3,0,0
2024-01,PA,Apple,3F,1.0,1,0,0
2024-01,PE,Apple,1,7.0,7,0,0
2024-01,PE,Apple,1F,10.0,10,0,0
2024-01,PE,Apple,3,28.0,28,0,0
2024-01,PE,Apple,3F,4.0,4,0,0
2024-01,PH,Apple,1,15.0,15,0,0
2024-01,PH,Apple,1F,6.0,6,0,0
2024-01,PH,Apple,3,131.0,131,0,0
2024-01,PH,Apple,3F,31.0,31,0,0
2024-01,PH,Apple,7F,16.0,16,0,0
2024-01,PK,Apple,3,3.0,3,0,0
2024-01,PL,Apple,1,148.0,148,0,0
2024-01,PL,Apple,1F,202.0,202,0,0
2024-01,PL,Apple,3,843.0,843,0,0
2024-01,PL,Apple,3F,149.0,149,0,0
2024-01,PL,Apple,3T,2.0,2,0,0
2024-01,PL,Apple,7,5.0,5,0,0
2024-01,PL,Apple,7F,8.0,8,0,0
2024-01,PT,Apple,1,15.0,15,0,0
2024-01,PT,Apple,1F,24.0,24,0,0
2024-01,PT,Apple,3,234.0,234,0,0
2024-01,PT,Apple,3F,38.0,38,0,0
2024-01,PT,Apple,3T,1.0,1,0,0
2024-01,PT,Apple,7F,4.0,4,0,0
2024-01,PT,Apple,7T,2.0,2,0,0
2024-01,PW,Apple,1F,1.0,1,0,0
2024-01,PY,Apple,3,3.0,3,0,0
2024-01,QA,Apple,3,7.0,7,0,0
2024-01,QA,Apple,3F,7.0,7,0,0
2024-01,RO,Apple,1,7.0,7,0,0
2024-01,RO,Apple,1F,14.0,14,0,0
2024-01,RO,Apple,3,208.0,208,0,0
2024-01,RO,Apple,3F,25.0,25,0,0
2024-01,RO,Apple,7,1.0,1,0,0
2024-01,RS,Apple,1,8.0,8,0,0
2024-01,RS,Apple,1F,16.0,16,0,0
2024-01,RS,Apple,3,28.0,28,0,0
2024-01,RS,Apple,3F,3.0,3,0,0
2024-01,RU,Apple,1,138.0,138,0,0
2024-01,RU,Apple,1F,287.0,287,0,0
2024-01,RU,Apple,3,1031.0,1031,0,0
2024-01,RU,Apple,3F,135.0,135,0,0
2024-01,RU,Apple,3T,6.0,6,0,0
2024-01,RU,Apple,7,11.0,11,0,0
2024-01,SA,Apple,1F,16.0,16,0,0
2024-01,SA,Apple,3,19.0,19,0,0
2024-01,SA,Apple,3F,63.0,63,0,0
2024-01,SA,Apple,7F,5.0,5,0,0
2024-01,SC,Apple,3,2.0,2,0,0
2024-01,SC,Apple,3F,1.0,1,0,0
2024-01,SE,Apple,1,18.0,18,0,0
2024-01,SE,Apple,1F,60.0,60,0,0
2024-01,SE,Apple,3,1329.0,1329,0,0
2024-01,SE,Apple,3F,90.0,90,0,0
2024-01,SE,Apple,3T,7.0,7,0,0
2024-01,SE,Apple,7,5.0,5,0,0
2024-01,SE,Apple,7F,3.0,3,0,0
2024-01,SE,Apple,7T,18.0,18,0,0
2024-01,SG,Apple,1,3.0,3,0,0
2024-01,SG,Apple,1F,13.0,13,0,0
2024-01,SG,Apple,3,177.0,177,0,0
2024-01,SG,Apple,3F,48.0,48,0,0
2024-01,SG,Apple,3T,2.0,2,0,0
2024-01,SG,Apple,7,1.0,1,0,0
2024-01,SI,Apple,1,20.0,20,0,0
2024-01,SI,Apple,1F,16.0,16,0,0
2024-01,SI,Apple,3,209.0,209,0,0
2024-01,SI,Apple,3F,16.0,16,0,0
2024-01,SI,Apple,7,5.0,5,0,0
2024-01,SK,Apple,1,17.0,17,0,0
2024-01,SK,Apple,1F,32.0,32,0,0
2024-01,SK,Apple,3,284.0,284,0,0
2024-01,SK,Apple,3F,14.0,14,0,0
2024-01,SK,Apple,3T,2.0,2,0,0
2024-01,SK,Apple,7,17.0,17,0,0
2024-01,SL,Apple,3,13.0,13,0,0
2024-01,SN,Apple,1F,1.0,1,0,0
2024-01,SN,Apple,3,14.0,14,0,0
2024-01,SV,Apple,1F,1.0,1,0,0
2024-01,SV,Apple,3,2.0,2,0,0
2024-01,SV,Apple,3F,1.0,1,0,0
2024-01,TH,Apple,1,44.0,44,0,0
2024-01,TH,Apple,1F,169.0,169,0,0
2024-01,TH,Apple,3,581.0,581,0,0
2024-01,TH,Apple,3F,198.0,198,0,0
2024-01,TH,Apple,3T,3.0,3,0,0
2024-01,TH,Apple,7,3.0,3,0,0
2024-01,TH,Apple,7T,1.0,1,0,0
2024-01,TJ,Apple,1,1.0,1,0,0
2024-01,TJ,Apple,3,1.0,1,0,0
2024-01,TN,Apple,1F,1.0,1,0,0
2024-01,TN,Apple,3F,1.0,1,0,0
2024-01,TR,Apple,1,22.0,22,0,0
2024-01,TR,Apple,1F,132.0,132,0,0
2024-01,TR,Apple,3,286.0,286,0,0
2024-01,TR,Apple,3F,117.0,117,0,0
2024-01,TR,Apple,3T,1.0,1,0,0
2024-01,TR,Apple,7,13.0,13,0,0
2024-01,TW,Apple,1,18.0,18,0,0
2024-01,TW,Apple,1F,144.0,144,0,0
2024-01,TW,Apple,3,289.0,289,0,0
2024-01,TW,Apple,3F,234.0,234,0,0
2024-01,TW,Apple,3T,1.0,1,0,0
2024-01,TW,Apple,7,2.0,2,0,0
2024-01,TW,Apple,7F,106.0,106,0,0
2024-01,TW,Apple,7T,7.0,7,0,0
2024-01,TZ,Apple,3,1.0,1,0,0
2024-01,UA,Apple,1,36.0,36,0,0
2024-01,UA,Apple,1F,33.0,33,0,0
2024-01,UA,Apple,3,110.0,110,0,0
2024-01,UA,Apple,3F,26.0,26,0,0
2024-01,UA,Apple,3T,1.0,1,0,0
2024-01,UA,Apple,7,7.0,7,0,0
2024-01,US,Apple,1,145.0,145,0,0
2024-01,US,Apple,1F,1137.0,1137,0,0
2024-01,US,Apple,3,6270.0,6270,0,0
2024-01,US,Apple,3F,1940.0,1940,0,0
2024-01,US,Apple,3T,29.0,29,0,0
2024-01,US,Apple,7,124.0,124,0,0
2024-01,US,Apple,7F,64.0,64,0,0
2024-01,US,Apple,7T,6.0,6,0,0
2024-01,UY,Apple,1,1.0,1,0,0
2024-01,UY,Apple,1F,6.0,6,0,0
2024-01,UY,Apple,3,5.0,5,0,0
2024-01,UY,Apple,3F,2.0,2,0,0
2024-01,UZ,Apple,1,3.0,3,0,0
2024-01,UZ,Apple,1F,1.0,1,0,0
2024-01,UZ,Apple,3,5.0,5,0,0
2024-01,UZ,Apple,3F,1.0,1,0,0
2024-01,VE,Apple,1,2.0,2,0,0
2024-01,VE,Apple,1F,5.0,5,0,0
2024-01,VE,Apple,3,2.0,2,0,0
2024-01,VN,Apple,1,6.0,6,0,0
2024-01,VN,Apple,1F,17.0,17,0,0
2024-01,VN,Apple,3,16.0,16,0,0
2024-01,VN,Apple,3F,18.0,18,0,0
2024-01,XK,Apple,1,5.0,5,0,0
2024-01,XK,Apple,1F,6.0,6,0,0
2024-01,XK,Apple,3,2.0,2,0,0
2024-01,ZA,Apple,1,20.0,20,0,0
2024-01,ZA,Apple,1F,36.0,36,0,0
2024-01,ZA,Apple,3,313.0,313,0,0
2024-01,ZA,Apple,3F,46.0,46,0,0
2024-01,ZA,Apple,3T,6.0,6,0,0
2024-01,ZA,Apple,7,5.0,5,0,0
2024-01,ZM,Apple,1F,3.0,3,0,0
2024-01,ZW,Apple,3,1.0,1,0,0
2025-01,AE,Apple,1,3.0,3,0,0
2025-01,AE,Apple,1F,23.0,23,0,0
2025-01,AE,Apple,3,58.0,58,0,0
2025-01,AE,Apple,3F,61.0,61,0,0
2025-01,AE,Apple,7T,20.0,20,0,0
2025-01,AF,Apple,1F,1.0,1,0,0
2025-01,AL,Apple,1,1.0,1,0,0
2025-01,AL,Apple,1F,1.0,1,0,0
2025-01,AL,Apple,3,1.0,1,0,0
2025-01,AL,Apple,3F,1.0,1,0,0
2025-01,ALL,Apple,3,8.0,8,0,0
2025-01,ALL,Apple,3F,2.0,2,0,0
2025-01,AM,Apple,3,2.0,2,0,0
2025-01,AM,Apple,3F,1.0,1,0,0
2025-01,AO,Apple,1,1.0,1,0,0
2025-01,AO,Apple,3,1.0,1,0,0
2025-01,AR,Apple,1,6.0,6,0,0
2025-01,AR,Apple,1F,52.0,52,0,0
2025-01,AR,Apple,3,82.0,82,0,0
2025-01,AR,Apple,3F,50.0,50,0,0
2025-01,AR,Apple,3T,1.0,1,0,0
2025-01,AT,Apple,1,13.0,13,0,0
2025-01,AT,Apple,1F,100.0,100,0,0
2025-01,AT,Apple,3,1029.0,1029,0,0
2025-01,AT,Apple,3F,99.0,99,0,0
2025-01,AT,Apple,3T,15.0,15,0,0
2025-01,AT,Apple,7,44.0,44,0,0
2025-01,AT,Apple,7T,1.0,1,0,0
2025-01,AU,Apple,1,19.0,19,0,0
2025-01,AU,Apple,1F,118.0,118,0,0
2025-01,AU,Apple,3,740.0,740,0,0
2025-01,AU,Apple,3F,227.0,227,0,0
2025-01,AU,Apple,3T,5.0,5,0,0
2025-01,AU,Apple,7,7.0,7,0,0
2025-01,AU,Apple,7F,1.0,1,0,0
2025-01,AZ,Apple,1,1.0,1,0,0
