Date,Country,Platform,Subscription_Type,Revenue_EUR,Orders
2026-04,NO,Apple,Yearly,1965.88,44
2026-04,NZ,Apple,Monthly,39.15,7
2026-04,NZ,Apple,Yearly,33.99,1
2026-04,OM,Apple,Monthly,3.63,1
2026-04,PA,Apple,Monthly,3.82,1
2026-04,PH,Apple,Monthly,347.58,2
2026-04,PK,Apple,Monthly,680.00,1
2026-04,PL,Apple,Monthly,569.93,83
2026-04,PL,Apple,Yearly,684.09,25
2026-04,PT,Apple,Monthly,48.30,15
2026-04,PT,Apple,Yearly,42.14,3
2026-04,PY,Apple,Monthly,7.64,2
2026-04,RO,Apple,Monthly,134.80,9
2026-04,RO,Apple,Yearly,105.36,1
2026-04,RS,Apple,Monthly,28.24,8
2026-04,RU,Apple,Monthly,2223.92,9
2026-04,RU,Apple,Yearly,6730.32,4
2026-04,SA,Apple,Monthly,44.34,3
2026-04,SA,Apple,Yearly,192.16,2
2026-04,SE,Apple,Monthly,846.60,85
2026-04,SE,Apple,Yearly,1308.32,8
2026-04,SG,Apple,Monthly,15.54,3
2026-04,SI,Apple,Monthly,87.00,39
2026-04,SI,Apple,Yearly,63.37,8
2026-04,SK,Apple,Monthly,89.70,52
2026-04,SK,Apple,Yearly,62.18,3
2026-04,TH,Apple,Monthly,1429.08,17
2026-04,TH,Apple,Yearly,810.28,1
2026-04,TR,Apple,Monthly,1108.84,31
2026-04,TR,Apple,Yearly,1110.29,2
2026-04,TW,Apple,Monthly,448.00,4
2026-04,TW,Apple,Yearly,777.00,1
2026-04,TZ,Apple,Monthly,7412.29,1
2026-04,UA,Apple,Monthly,11.67,4
2026-04,US,Apple,Monthly,248.30,262
2026-04,US,Apple,Yearly,271.50,51
2026-04,UY,Apple,Monthly,24.18,6
2026-04,VN,Apple,Monthly,86897.00,1
2026-04,ZA,Apple,Monthly,576.47,12
2026-04,ZA,Apple,Yearly,1529.98,4
2026-04,ZW,Apple,Monthly,3.49,1
2025-01,ALL,Google,Unknown,22619.49,
2025-02,ALL,Google,Unknown,26244.85,
2025-03,ALL,Google,Unknown,37409.43,
2025-04,ALL,Google,Unknown,39915.35,
2025-05,ALL,Google,Unknown,38164.25,
2025-06,ALL,Google,Unknown,36197.71,
2025-07,ALL,Google,Unknown,33849.55,
2025-08,ALL,Google,Unknown,34244.87,
2025-09,ALL,Google,Unknown,30862.49,
2025-10,ALL,Google,Unknown,29185.42,
2025-11,ALL,Google,Unknown,24485.42,
2025-12,ALL,Google,Unknown,23760.07,
2026-01,ALL,Google,Unknown,24051.57,
2026-02,ALL,Google,Unknown,27081.34,
2026-03,ALL,Google,Unknown,37416.01,
2026-04,ALL,Google,Unknown,39157.33,
